id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
7106,0.006964,tcp,ssh,FIN,30,26,3624,5578,7897.759974,31,29,4025272.75,6161976.0,7,7,0.240138,0.22348,13.347825,13.579914,255,1498339620,3648254623,255,7.58E-4,6.3E-4,1.28E-4,121,215,0,0,1,0,3,1,1,1,0,0,0,3,1,0,Normal,0
7403,1.088833,tcp,http,FIN,12,18,1580,10168,26.634021,31,29,10646.26074,70563.625,3,5,98.952908,64.021059,9565.431221,7702.400579,255,315237448,2465818670,255,6.75E-4,4.72E-4,2.03E-4,132,565,1,3924,2,0,2,2,1,1,0,0,1,3,1,0,Normal,0
7493,0.021268,tcp,smtp,FIN,52,42,37372,3380,4372.766428,31,29,1.3787474E7,1241301.5,18,8,0.410059,0.505317,21.986551,0.878954,255,1463376561,1464478337,255,7.06E-4,5.47E-4,1.59E-4,719,80,0,0,1,0,5,1,1,2,0,0,0,3,1,0,Normal,0
7541,0.009786,tcp,-,FIN,18,18,4528,2456,3576.538078,31,29,3496423.75,1896587.0,7,7,0.498588,0.543353,30.645588,0.848691,255,2181280595,2188913491,255,7.47E-4,5.47E-4,2.0E-4,252,136,0,0,8,0,5,1,1,2,0,0,0,2,7,0,Normal,0
9233,1.164907,tcp,http,FIN,14,18,1684,10168,26.611567,31,29,10740.77148,65955.48438,3,5,89.579767,68.491471,8838.706377,7739.372941,255,2738958259,602372100,255,6.88E-4,5.48E-4,1.4E-4,120,565,1,3924,1,0,3,1,1,1,0,0,1,1,4,0,Normal,0
10039,0.02817,tcp,http,FIN,8,10,1058,822,603.478862,31,29,262974.7813,210152.6406,2,2,3.974572,3.079889,231.147056,5.572125,255,1326087892,1327567262,255,5.73E-4,4.47E-4,1.26E-4,132,82,1,82,2,0,4,2,1,1,0,0,1,8,1,0,Normal,0
10238,0.001068,udp,dns,CON,2,2,146,178,2808.988808,31,29,546816.5,666666.6875,0,0,0.01,0.005,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,3,0,2,1,1,2,0,0,0,2,5,0,Normal,0
10502,0.753796,tcp,smtp,FIN,52,40,37268,3276,120.72232,31,29,387924.5938,33908.37891,18,8,14.773216,19.313871,1193.707871,38.877953,255,1714095431,1754103130,255,7.21E-4,5.51E-4,1.7E-4,717,82,0,0,1,0,1,1,1,1,0,0,0,4,1,0,Normal,0
11925,0.001028,udp,dns,CON,2,2,130,162,2918.287859,31,29,505836.5625,630350.1875,0,0,0.007,0.005,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,2,0,1,1,1,3,0,0,0,7,1,0,Normal,0
12520,0.139285,tcp,ftp-data,FIN,6,8,320,1826,93.333813,31,29,15335.46387,91783.03906,1,2,27.794,23.1255,1955.442802,51.385336,255,1923901515,2181019848,255,6.76E-4,5.28E-4,1.48E-4,53,228,0,0,6,0,1,1,1,1,0,0,0,6,1,0,Normal,0
13074,0.001094,udp,dns,CON,2,2,146,178,2742.230477,31,29,533820.875,650822.6875,0,0,0.008,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,1,0,2,1,1,1,0,0,0,2,2,0,Normal,0
13299,0.001069,udp,dns,CON,2,2,130,162,2806.361109,31,29,486435.9375,606174.0,0,0,0.009,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,2,0,1,1,1,3,0,0,0,5,2,0,Normal,0
13638,0.006169,tcp,ssh,FIN,32,24,3728,5474,8915.545217,31,29,4684065.5,6803047.5,7,7,0.199,0.236609,12.527219,0.348331,255,1121445932,1121723220,255,7.44E-4,6.02E-4,1.42E-4,117,228,0,0,2,0,3,1,1,1,0,0,0,1,1,0,Normal,0
14656,0.329543,tcp,ssh,FIN,32,24,3728,5474,166.897798,31,29,87685.07031,127352.125,7,7,10.630419,14.267087,646.982085,19.022213,255,1439517211,1439818452,255,0.001434,0.001265,1.69E-4,117,228,0,0,3,0,1,1,1,1,0,0,0,2,2,0,Normal,0
15034,0.03887,tcp,-,FIN,90,92,5174,83812,4656.547544,31,29,1053151.5,1.7062208E7,7,39,0.438182,0.420846,22.731711,22.333916,255,984549403,984848530,255,6.96E-4,5.65E-4,1.31E-4,57,911,0,0,2,0,10,1,1,4,0,0,0,4,9,0,Normal,0
15731,0.001075,udp,dns,CON,2,2,146,178,2790.69758,31,29,543255.8125,662325.5625,0,0,0.008,0.009,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,4,0,2,1,1,3,0,0,0,4,2,0,Normal,0
15850,0.001063,udp,dns,CON,2,2,146,178,2822.201463,31,29,549388.5625,669802.5,0,0,0.008,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,5,0,4,2,1,3,0,0,0,8,2,0,Normal,0
15937,0.004894,tcp,-,FIN,18,18,4528,2456,7151.614203,31,29,6991418.0,3792398.75,7,7,0.270235,0.257176,13.440377,0.344173,255,4007490115,1865169177,255,6.5E-4,5.19E-4,1.31E-4,252,136,0,0,6,0,4,1,1,3,0,0,0,4,8,0,Normal,0
16427,1.329816,tcp,ssh,FIN,126,124,12648,13202,187.243952,31,29,75487.13281,78783.83594,35,33,10.724322,10.805797,951.496583,956.978778,255,2864657813,715401472,255,9.26E-4,5.77E-4,3.49E-4,100,106,0,0,1,0,3,1,1,2,0,0,0,2,1,0,Normal,0
16458,0.013937,tcp,-,FIN,38,40,2438,19266,5524.861805,31,29,1362703.625,1.0782808E7,7,13,0.368243,0.327641,21.132185,20.24746,255,1869062934,4047095019,255,0.001306,0.001155,1.51E-4,64,482,0,0,3,0,1,1,1,1,0,0,0,3,2,0,Normal,0
16471,0.222577,tcp,ftp-data,FIN,8,12,424,8824,85.363715,31,29,13334.71094,290739.8125,1,4,31.752285,20.192272,2153.405179,1716.599459,255,1435082518,1694173443,255,5.9E-4,4.59E-4,1.31E-4,53,735,0,0,2,0,6,1,1,2,0,0,0,3,2,0,Normal,0
18012,0.26041,tcp,-,FIN,22,24,1920,4312,172.804417,31,29,56311.19922,126969.0078,6,6,12.384,11.296826,714.08115,685.154372,255,2712664439,563373643,255,7.11E-4,5.74E-4,1.37E-4,87,180,0,0,2,0,3,1,1,1,0,0,0,1,9,0,Normal,0
18722,0.612359,tcp,-,FIN,22,24,1958,2308,73.486306,31,29,24417.05078,28898.08203,6,6,29.142715,27.807274,0.0,1936.708196,255,3478535889,3478828127,255,7.2E-4,5.9E-4,1.3E-4,89,96,0,0,4,0,3,2,1,2,0,0,0,4,5,0,Normal,0
19041,0.007099,tcp,ssh,FIN,32,24,3728,5474,7747.570292,31,29,4070432.5,5911818.5,7,7,0.229,0.270435,15.408732,0.42135,255,3870344513,1721063707,255,7.24E-4,5.81E-4,1.43E-4,117,228,0,0,1,0,2,1,1,2,0,0,0,4,1,0,Normal,0
20865,1.282786,tcp,ftp,FIN,52,54,2934,3742,81.853091,31,29,17948.43359,22906.39258,11,15,25.146744,24.193641,1796.825367,60.021441,255,1188514144,1194844258,255,6.45E-4,5.2E-4,1.25E-4,56,69,0,0,2,0,5,1,1,4,1,1,0,5,1,0,Normal,0
22065,0.035124,udp,-,CON,4,4,520,304,199.293929,31,29,88828.14844,51930.30469,0,0,6.662333,7.675667,9.414185,10.844426,0,0,0,0,0.0,0.0,0.0,130,76,0,0,6,0,3,1,1,4,0,0,0,6,9,0,Normal,0
22475,0.324824,tcp,smtp,FIN,54,42,37938,3380,292.466069,31,29,917075.0625,81274.78125,19,8,6.122453,7.910537,632.255618,21.586129,255,756393376,2902762171,255,6.12E-4,4.88E-4,1.24E-4,703,80,0,0,1,0,4,1,1,2,0,0,0,2,1,0,Normal,0
22495,0.001678,udp,-,CON,4,4,520,304,4171.632967,31,29,1859356.375,1087008.375,0,0,0.431667,0.2,0.605519,0.274357,0,0,0,0,0.0,0.0,0.0,130,76,0,0,12,0,4,1,1,3,0,0,0,8,4,0,Normal,0
22540,0.119082,tcp,-,FIN,22,26,2054,2582,394.686027,31,29,131741.1563,166809.4375,6,6,5.93595,4.939875,408.834947,373.66954,255,2109162445,4254824422,255,6.15E-4,5.16E-4,9.9E-5,93,99,0,0,4,0,3,1,1,2,0,0,0,1,5,0,Normal,0
23347,1.005904,tcp,http,FIN,12,18,1580,10168,28.82979,31,29,11523.96289,76381.04688,3,5,91.416088,59.142294,9530.041599,7673.965387,255,4031840333,4037069588,255,6.2E-4,4.81E-4,1.39E-4,132,565,1,3924,2,0,2,1,1,2,0,0,1,6,3,0,Normal,0
24134,0.133978,tcp,-,FIN,50,50,3062,32642,738.927318,31,29,179193.6094,1910164.375,7,18,2.784417,2.723633,0.0,4.395194,255,2199454121,147768275,255,6.3E-4,5.16E-4,1.14E-4,61,653,0,0,6,0,6,1,1,3,0,0,0,5,5,0,Normal,0
24297,0.048904,tcp,-,FIN,72,74,4238,63516,2964.992535,31,29,683788.625,1.0249959E7,7,30,0.683901,0.661808,41.791369,41.011145,255,2876161511,2876469276,255,7.11E-4,5.84E-4,1.27E-4,59,858,0,0,7,0,1,1,1,4,0,0,0,1,8,0,Normal,0
25256,0.292351,tcp,-,FIN,10,6,1526,268,51.308186,254,252,37598.64063,6129.618164,2,1,31.676444,44.546801,1810.522305,75.647883,255,3223687701,1562287744,255,0.124232,0.069614,0.054618,153,45,0,0,14,1,3,3,1,13,0,0,0,3,13,0,Normal,0
26143,0.001052,udp,dns,CON,2,2,130,162,2851.711087,31,29,494296.5938,615969.625,0,0,0.001,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,4,0,2,2,2,4,0,0,0,4,3,0,Normal,0
27035,1.150485,tcp,ftp-data,FIN,6,8,320,1910,11.299582,31,29,1856.608276,11626.40039,1,2,230.035,164.291859,16256.31473,402.110375,255,2369336413,2732282955,255,5.53E-4,4.39E-4,1.14E-4,53,239,0,0,3,0,1,1,1,5,0,0,0,2,2,0,Normal,0
28335,1.029752,tcp,http,FIN,12,18,1580,10168,28.16212,31,29,11257.0791,74612.14063,3,5,93.582544,60.541644,9533.297329,7676.985944,255,4215600927,2071271334,255,6.7E-4,5.4E-4,1.3E-4,132,565,1,3924,2,0,4,2,1,1,0,0,1,3,3,0,Normal,0
28628,0.024262,tcp,ssh,FIN,106,116,9400,12402,9108.894614,31,29,3070480.5,4054406.0,26,31,0.237109,0.212071,14.849779,13.092783,255,4132753031,4132994208,255,6.52E-4,5.06E-4,1.46E-4,89,107,0,0,1,0,1,1,1,1,0,0,0,1,1,0,Normal,0
28802,50.004375,ospf,-,REQ,6,0,384,0,0.099991,1,0,51.195518,0.0,0,0,10000.875,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,64,0,0,0,1,0,2,1,2,1,0,0,0,1,2,0,Normal,0
28807,0.648773,tcp,-,FIN,122,126,7820,15736,380.718671,31,29,95639.0,192511.0938,30,32,5.358876,5.186464,418.25871,414.680969,255,1879886090,1880896390,255,5.83E-4,4.62E-4,1.21E-4,64,125,0,0,9,0,3,1,1,3,0,0,0,3,6,0,Normal,0
31758,1.007757,tcp,http,FIN,12,18,1580,10168,28.77678,31,29,11502.77344,76240.60938,3,5,91.497815,59.249589,9530.1363,7674.699248,255,4177472943,4174328190,255,6.33E-4,5.11E-4,1.22E-4,132,565,1,3924,4,0,2,2,1,1,0,0,1,2,1,0,Normal,0
31958,0.036845,tcp,-,FIN,48,50,2958,33044,2632.650392,31,29,629013.4375,7031402.0,7,18,0.777255,0.741143,0.0,50.989693,255,1932924838,4115856608,255,6.64E-4,5.26E-4,1.38E-4,62,661,0,0,5,0,2,1,1,2,0,0,0,2,2,0,Normal,0
32356,0.00114,udp,dns,CON,2,2,146,178,2631.579064,31,29,512280.7188,624561.4375,0,0,0.01,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,5,0,3,1,1,2,0,0,0,1,5,0,Normal,0
32476,1.00464,tcp,http,FIN,14,18,1684,10168,30.856825,31,29,12454.21289,76477.14844,3,5,77.253921,59.064879,8762.416544,7675.316564,255,3652576138,3649550427,255,6.58E-4,5.33E-4,1.25E-4,120,565,1,0,1,0,2,1,1,1,0,0,1,3,2,0,Normal,0
32598,0.030864,tcp,-,FIN,60,64,3614,50140,3985.225464,31,29,921202.6875,1.2793416E7,7,24,0.517797,0.489,29.493458,27.972875,255,388020753,388309544,255,6.57E-4,5.37E-4,1.2E-4,60,783,0,0,7,0,4,1,1,1,0,0,0,2,6,0,Normal,0
32718,1.084818,tcp,http,FIN,14,18,1684,10168,28.576222,31,29,11533.73145,70824.78125,3,5,83.421772,63.78,8785.683878,7696.037282,255,1228022108,1229094310,255,6.74E-4,5.55E-4,1.19E-4,120,565,1,3924,2,0,3,1,1,2,0,0,1,4,4,0,Normal,0
33503,0.004197,tcp,ftp-data,FIN,10,12,528,8824,5003.57391,31,29,907314.75,1.5418632E7,1,4,0.424667,0.337545,25.548651,20.929265,255,1210738552,3367253784,255,6.07E-4,4.81E-4,1.26E-4,53,735,0,0,3,0,9,1,1,4,0,0,0,7,3,0,Normal,0
33799,0.008424,udp,dns,CON,2,2,146,178,356.125361,31,29,69325.73438,84520.42188,0,0,0.005,0.003,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,2,2,1,4,0,0,0,3,3,0,Normal,0
34107,0.00107,udp,dns,CON,2,2,130,162,2803.738322,31,29,485981.3125,605607.5,0,0,0.008,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,2,0,1,2,1,1,0,0,0,2,3,0,Normal,0
34331,0.001005,udp,dns,CON,2,2,146,178,2985.074718,31,29,581094.5625,708457.75,0,0,0.009,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,5,0,6,2,1,2,0,0,0,2,5,0,Normal,0
34797,1.870293,tcp,ftp,FIN,52,54,2934,3742,56.140936,31,29,12310.37012,15710.90723,11,15,37.39794,35.279699,2531.797762,87.085766,255,1879265749,4118565545,255,5.85E-4,4.65E-4,1.2E-4,56,69,0,0,1,0,2,1,1,5,1,1,0,3,1,0,Normal,0
35772,0.001677,udp,-,CON,4,4,544,304,4174.120543,31,29,1946332.75,1087656.5,0,0,0.431667,0.197667,0.606934,0.273896,0,0,0,0,0.0,0.0,0.0,136,76,0,0,14,0,4,1,1,9,0,0,0,3,13,0,Normal,0
37132,0.392324,tcp,-,FIN,232,438,13350,548216,1705.223231,31,29,271061.6875,1.1153332E7,21,197,1.704383,0.89665,92.124844,54.584484,255,2764263154,2771963598,255,6.15E-4,4.85E-4,1.3E-4,58,1252,0,0,11,0,4,2,1,5,0,0,0,5,8,0,Normal,0
37322,0.005367,tcp,ftp-data,FIN,6,8,320,1946,2422.209746,31,29,397987.6875,2538475.75,1,2,1.0118,0.688571,62.360181,1.395593,255,3204917208,1063691872,255,6.9E-4,5.43E-4,1.47E-4,53,243,0,0,6,0,9,1,1,6,0,0,0,11,3,0,Normal,0
37683,1.252012,tcp,http,FIN,14,18,1684,10168,24.760146,31,29,9993.514648,61366.82422,3,5,96.276849,73.614,9499.108433,8317.145227,255,604559526,2783332173,255,7.23E-4,5.7E-4,1.53E-4,120,565,1,3924,1,0,6,1,1,2,0,0,1,7,2,0,Normal,0
37908,1.008899,tcp,http,FIN,14,18,1684,10168,30.726565,31,29,12401.6377,76154.30469,3,5,77.517695,59.317882,8765.407304,7677.303228,255,686618944,2833012917,255,6.14E-4,4.9E-4,1.24E-4,120,565,1,3924,2,0,3,1,1,1,0,0,1,1,6,0,Normal,0
39526,0.028886,tcp,-,FIN,44,46,2766,27770,3081.077371,31,29,748874.875,7523921.5,7,16,0.664372,0.630889,44.136352,43.008622,255,3044595483,895250297,255,6.08E-4,4.92E-4,1.16E-4,63,604,0,0,6,0,1,1,1,2,0,0,0,5,2,0,Normal,0
39661,0.017495,tcp,-,FIN,16,18,1540,1644,1886.253136,31,29,660302.9375,710145.75,4,4,1.1456,1.002235,69.730076,1.917005,255,967540582,973091306,255,5.78E-4,4.53E-4,1.25E-4,96,91,0,0,8,0,14,4,1,6,0,0,0,8,9,0,Normal,0
40775,0.001743,udp,-,CON,4,4,528,304,4016.064255,31,29,1817555.875,1046471.625,0,0,0.437,0.216,0.614477,0.298399,0,0,0,0,0.0,0.0,0.0,132,76,0,0,5,0,6,1,1,4,0,0,0,5,7,0,Normal,0
40934,0.621764,tcp,-,FIN,16,10,900,556,40.208182,254,252,10859.42578,6446.175781,5,3,41.399535,64.817668,2121.611173,78.135508,255,1117097686,1513597644,255,0.117775,0.038402,0.079373,56,56,0,0,7,1,2,2,1,7,0,0,0,2,7,0,Normal,0
41474,0.837597,tcp,-,FIN,10,6,534,268,17.908373,254,252,4594.094727,2139.453613,2,1,88.699222,146.757406,4741.753161,222.144234,255,1371837066,2184077659,255,0.203298,0.103809,0.099489,53,45,0,0,5,1,1,1,1,4,0,0,0,1,5,0,Normal,0
41663,1.02263,tcp,-,FIN,16,14,5926,764,28.358253,254,252,43464.40234,5554.306152,5,4,68.175333,75.582766,4317.691841,111.635258,255,1604771735,1520251848,255,0.102197,0.039339,0.062858,370,55,0,0,4,1,1,1,1,4,0,0,0,1,4,0,Normal,0
42286,1.0E-5,udp,-,INT,2,0,1064,0,100000.0025,254,0,4.256E8,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,34,2,14,14,1,34,0,0,0,14,34,0,Normal,0
42577,0.476335,tcp,-,FIN,10,8,490,354,35.689169,254,252,7406.552246,5206.419922,2,1,52.814,60.315855,3631.667431,115.654617,255,4146991869,1740587397,255,0.108531,0.054116,0.054415,49,44,0,0,11,1,2,2,1,11,0,0,0,2,11,0,Normal,0
42834,9.0E-6,udp,-,INT,2,0,78,0,111111.1072,254,0,3.4666664E7,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,39,0,0,0,7,2,2,2,1,6,0,0,0,3,8,0,Normal,0
43070,1.351959,tcp,-,FIN,10,8,656,354,12.574346,254,252,3497.147461,1834.375122,2,0,7091.9626,8861.368,695695.8749,22992.318,255,1104119080,1558690931,255,0.120472,0.059045,0.061427,66,44,0,0,4,1,2,2,2,3,0,0,0,4,3,0,Normal,0
44391,0.458704,tcp,-,FIN,10,6,574,268,32.700827,254,252,9016.708008,3906.658691,2,1,50.967111,81.793398,2508.08462,125.057812,255,3642185644,3358945667,255,0.147069,0.049093,0.097976,57,45,0,0,12,1,3,3,1,12,0,0,0,3,13,0,Normal,0
44444,0.247269,tcp,-,FIN,10,6,484,268,60.662678,254,252,14106.09473,7247.167969,2,1,27.371333,39.742199,1401.203499,60.040078,255,3253562643,1864130357,255,0.095504,0.048554,0.04695,48,45,0,0,8,1,2,2,1,8,0,0,0,2,8,0,Normal,0
45219,0.527782,tcp,-,FIN,10,6,534,268,28.420824,254,252,7290.888672,3395.341064,2,1,53.484889,82.331203,2781.33814,122.937562,255,266519893,714005055,255,0.170802,0.116117,0.054685,53,45,0,0,4,1,1,1,1,3,0,0,0,2,3,0,Normal,0
45237,1.357027,tcp,-,FIN,10,6,534,268,11.053575,254,252,2835.610352,1320.533691,2,1,142.301444,256.975,9062.145969,445.67575,255,2323443717,3226894364,255,0.18727,0.072145,0.115125,53,45,0,0,4,1,2,1,1,3,0,0,0,3,3,0,Normal,0
45667,11.026299,tcp,-,REQ,4,0,180,0,0.272077,254,0,97.947639,0.0,3,0,3675.433,0.0,5197.842,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,52,6,27,2,2,51,0,0,0,27,51,0,Normal,0
45754,10.325635,tcp,-,REQ,6,0,270,0,0.484232,254,0,174.323425,0.0,5,0,2065.127,0.0,3566.061,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,28,6,10,2,2,26,0,0,0,11,26,0,Normal,0
45983,13.076258,tcp,-,REQ,8,0,360,0,0.535321,254,0,192.715683,0.0,7,0,1868.036875,0.0,3764.0665,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,27,6,10,1,1,28,0,0,0,10,27,0,Normal,0
47199,1.001018,tcp,-,FIN,10,6,534,268,14.984745,254,252,3844.086426,1790.17749,2,1,111.092333,168.713,5563.206348,268.02475,255,275090092,3921203808,255,0.31098,0.157445,0.153535,53,45,0,0,2,1,1,1,1,2,0,0,0,1,2,0,Normal,0
65083,1.008929,tcp,-,FIN,20,10,6240,556,28.74335,254,252,47004.29688,3972.529297,6,3,53.101526,94.688891,3275.279259,158.172453,255,4007483607,1283794070,255,0.165454,0.127732,0.037722,312,56,0,0,7,1,1,1,1,6,0,0,0,1,6,0,Normal,0
65616,1.0E-5,udp,-,INT,2,0,1064,0,100000.0025,254,0,4.256E8,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,7,2,2,2,1,7,0,0,0,2,7,0,Normal,0
74165,0.661586,tcp,-,FIN,10,6,616,268,22.67279,254,252,6711.145996,2708.642578,2,1,71.362333,118.334797,3966.895015,193.715984,255,154808051,3194854331,255,0.136256,0.069909,0.066347,62,45,0,0,8,1,2,2,1,8,0,0,0,2,8,0,Normal,0
75295,1.731659,tcp,-,FIN,204,34,258396,1472,136.862969,254,252,1187901.25,6601.76123,99,1,8.335867,51.039211,925.680436,58.104758,255,1369382770,399539170,255,0.110645,0.047357,0.063288,1267,43,0,0,11,1,2,1,1,2,0,0,0,4,2,0,Normal,0
84420,0.596314,tcp,-,FIN,10,6,622,268,25.154532,254,252,7512.820312,3005.128174,2,1,63.533444,90.179203,3244.125385,130.04068,255,1460675637,3332193389,255,0.209487,0.14541,0.064077,62,45,0,0,3,1,1,1,1,3,0,0,0,1,4,0,Normal,0
85422,7.0E-6,udp,-,INT,2,0,1926,0,142857.1409,254,0,1.100571392E9,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,963,0,0,0,39,2,14,14,1,39,0,0,0,14,39,0,Normal,0
88394,1.595955,tcp,http,FIN,10,10,810,1176,11.905097,62,252,3654.238281,5308.42041,2,2,177.328333,161.135672,11479.08521,239.870969,255,3460607271,1206711933,255,0.206571,0.10059,0.105981,81,118,1,129,3,1,2,2,2,3,0,0,4,2,3,0,Normal,0
91259,0.585206,tcp,http,FIN,10,8,810,1176,29.049601,62,252,9965.72168,14066.8418,2,2,65.022889,71.37243,3362.965417,117.27943,255,3925200551,1970589155,255,0.13566,0.084964,0.050696,81,147,1,186,4,1,1,1,1,2,0,0,1,1,2,0,Normal,0
100642,0.493087,tcp,-,FIN,12,8,1058,748,38.532754,254,252,15737.58789,10626.92773,3,2,41.996365,60.68943,2135.450745,85.715328,255,2833744431,3305726021,255,0.125919,0.068252,0.057667,88,94,0,0,6,1,1,1,1,6,0,0,0,1,7,0,Normal,0
105011,0.734045,tcp,-,FIN,10,6,588,268,20.434714,254,252,5776.212402,2441.26709,2,1,81.473222,121.068203,4014.99093,181.934,255,2061234658,1665844495,255,0.244485,0.1287,0.115785,59,45,0,0,4,1,1,1,1,4,0,0,0,2,4,0,Normal,0
106856,1.404612,tcp,ftp,FIN,12,12,632,682,16.374629,254,252,3303.403564,3565.397461,3,4,127.691994,118.54582,6626.160464,181.467234,255,716784276,2462270356,255,0.198862,0.100084,0.098778,53,57,0,0,2,1,1,1,1,2,0,0,0,2,2,0,Normal,0
